location_key,location_display,persistent_risk_score,total_incidents,active_weeks_count,active_months_count,recency_weighted_incidents,severity_weighted_incidents,trend_90d,weekend_share,weekday_share,top_dow_1,top_dow_1_share,top_dow_2,top_dow_2_share,top_time_window_1,top_time_window_1_share,top_time_window_2,top_time_window_2_share,top_day_of_month_band,deployment_window_recommendation,confidence_band,notes
0 block newman st,0 Block Newman St,0.9077,297,66,19,76.75,225.25,down,0.199,0.801,Thu,0.185,Fri,0.172,Night 20-23,0.434,Evening Peak 16-19,0.343,late (21-31),Thu+Fri / Night 20-23 / late (21-31),high,
200 block essex st,200 Block Essex St,0.7953,248,70,21,62.25,177.0,down,0.25,0.75,Thu,0.165,Fri,0.161,Evening Peak 16-19,0.379,Night 20-23,0.323,early (1-10),Thu+Fri / Evening Peak 16-19 / early (1-10),high,
100 block hudson st,100 Block Hudson St,0.7366,163,76,27,53.0,142.25,down,0.209,0.791,Mon,0.202,Wed,0.184,Afternoon 12-15,0.227,Early Morning 00-03,0.227,late (21-31),Mon+Wed / Afternoon 12-15 / late (21-31),high,
0 block prospect ave,0 Block Prospect Ave,0.7322,173,81,27,49.75,140.25,flat,0.249,0.751,Mon,0.191,Thu,0.179,Early Morning 00-03,0.393,Morning Peak 08-11,0.156,late (21-31),Mon+Thu / Early Morning 00-03 / late (21-31),high,
400 block hackensack ave,400 Block Hackensack Ave,0.6431,133,71,27,42.5,108.0,flat,0.278,0.722,Tue,0.195,Thu,0.158,Early Morning 00-03,0.286,Night 20-23,0.263,early (1-10),Tue+Thu / Early Morning 00-03 / early (1-10),high,
500 block south river st,500 Block South River St,0.5605,106,64,26,33.5,86.0,down,0.236,0.764,Tue,0.236,Thu,0.16,Early Morning 00-03,0.292,Night 20-23,0.189,mid (11-20),Tue+Thu / Early Morning 00-03 / mid (11-20),high,
100 block essex st,100 Block Essex St,0.5284,83,56,26,31.25,78.0,flat,0.277,0.723,Mon,0.193,Wed,0.181,Early Morning 00-03,0.253,Night 20-23,0.241,early (1-10),Mon+Wed / Early Morning 00-03 / early (1-10),high,
200 block prospect ave,200 Block Prospect Ave,0.4773,76,57,26,24.0,57.5,down,0.368,0.632,Sat,0.211,Wed,0.158,Early Morning 00-03,0.276,Night 20-23,0.237,late (21-31),Sat+Wed / Early Morning 00-03 / late (21-31),high,
100 block river st,100 Block River St,0.4614,71,56,26,22.0,52.0,down,0.239,0.761,Fri,0.254,Tue,0.197,Early Morning 00-03,0.296,Night 20-23,0.225,mid (11-20),Fri+Tue / Early Morning 00-03 / mid (11-20),high,
300 block union st,300 Block Union St,0.4598,65,46,24,23.5,68.25,flat,0.077,0.923,Thu,0.262,Fri,0.2,Afternoon 12-15,0.277,Early Morning 00-03,0.277,mid (11-20),Thu+Fri / Afternoon 12-15 / mid (11-20),high,
